session_timestamp,cam_idx,cam_name,frames,total_runtime_s,avg_fps,avg_latency_ms,inference_runs,avg_inference_ms,total_inference_ms,unique_persons,log_csv,roi_dir,avg_proc_rss_bytes,peak_proc_rss_bytes,avg_proc_cpu_percent,avg_gpu_mem_bytes,peak_gpu_mem_bytes,config
1970-01-01 00:00:00,2,Front_left,83855,4228.844798088074,19.83,16.0,41928,19.4,813831.7,5,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,3,Front_right,25436,1283.2166604995728,19.82,15.4,12719,18.0,229191.0,15,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,0,Back_left,404,21.359495878219604,18.91,16.4,203,17.4,3535.0,4,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,403,21.341535806655884,18.88,15.1,202,21.3,4300.2,4,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,2,Front_left,404,21.385223388671875,18.89,18.3,203,22.4,4547.4,3,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,3,Front_right,404,21.399269819259644,18.88,17.4,203,22.8,4627.2,3,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,0,Back_left,109877,5584.096216440201,19.68,16.8,54939,19.0,1043449.3,6,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,156178,7962.3571400642395,19.61,18.1,78090,21.2,1655974.0,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,2,Front_left,83855,4227.246562242508,19.84,14.6,41928,16.2,679149.2,5,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,3,Front_right,25436,1281.6747341156006,19.85,11.9,12719,13.7,173683.1,15,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,0,Back_left,109877,5615.547251462936,19.57,18.0,54939,20.8,1140438.1,6,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,156178,7976.102239847183,19.58,19.1,78090,22.6,1767946.5,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,2,Front_left,83855,4229.432896375656,19.83,13.9,41928,16.4,686814.6,5,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,3,Front_right,25436,1282.1676609516144,19.84,12.7,12719,13.7,174577.1,15,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
