session_timestamp,cam_idx,cam_name,frames,total_runtime_s,avg_fps,avg_latency_ms,inference_runs,avg_inference_ms,total_inference_ms,unique_persons,log_csv,roi_dir,avg_proc_rss_bytes,peak_proc_rss_bytes,avg_proc_cpu_percent,avg_gpu_mem_bytes,peak_gpu_mem_bytes,config
1970-01-01 00:00:00,2,Front_left,9482,177.47408270835876,53.43,18.7,4742,28.2,133489.5,3,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,9482,177.48135900497437,53.43,18.7,4742,27.4,130167.5,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s

1970-01-01 00:00:00,0,Back_left,27,2.1585490703582764,12.51,41.9,14,71.9,1006.7,0,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260328.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,29,2.1730964183807373,13.35,38.5,15,66.2,993.0,0,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260328.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,2,Front_left - Trim,29,2.1951773166656494,13.21,36.8,15,65.6,984.0,0,logs_video_mode\Front_left_-_Trim\people_with_conf_and_roi_Front_left_-_Trim_20260328.csv,logs_video_mode\roi_images\Front_left_-_Trim,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,3,Front_right - Trim,27,2.161051034927368,12.49,42.9,14,77.1,1079.7,0,logs_video_mode\Front_right_-_Trim\people_with_conf_and_roi_Front_right_-_Trim_20260328.csv,logs_video_mode\roi_images\Front_right_-_Trim,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s

1970-01-01 00:00:00,0,Back_left,109877,5531.6362137794495,19.86,13.9,54939,18.7,1026678.7,3,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,156178,7863.302774190903,19.86,14.6,78090,19.4,1512369.9,0,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260407.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,2,Front_left,83855,4221.910511255264,19.86,14.0,41928,19.4,814329.4,1,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,3,Front_right,25436,1281.9577250480652,19.84,12.1,12719,15.1,191692.4,3,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,0,Back_left,294,20.716233015060425,14.19,14.9,148,21.6,3189.4,1,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260407.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,295,20.688767194747925,14.26,14.9,148,21.6,3204.0,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260407.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,297,20.733057737350464,14.32,14.1,149,20.5,3053.1,0,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_20260407.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,295,20.70243263244629,14.25,14.1,148,20.7,3063.7,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_20260407.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,229,13.445799827575684,17.03,16.2,115,23.0,2641.3,1,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260407.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,231,13.450622797012329,17.17,15.4,116,21.8,2524.7,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260407.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,230,13.431095361709595,17.12,16.2,116,23.5,2728.6,0,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_20260407.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,232,13.467397451400757,17.23,14.9,117,21.2,2484.8,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_20260407.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,168,14.58184289932251,11.52,58.5,85,104.5,8882.3,2,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,169,14.503914594650269,11.65,57.6,85,103.5,8797.4,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,168,14.61553955078125,11.49,59.1,85,107.2,9110.7,2,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,169,14.536912202835083,11.63,58.1,85,106.2,9026.4,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,321,20.350652933120728,15.77,16.5,161,22.8,3665.0,1,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260407.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,319,20.311559915542603,15.71,16.5,160,22.8,3648.3,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260407.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,324,20.36582088470459,15.91,16.2,163,22.8,3714.3,0,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_20260407.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,323,20.347487211227417,15.87,16.0,162,22.6,3666.1,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_20260407.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,175,15.973742246627808,10.96,63.3,88,114.8,10102.6,2,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,176,16.115318775177002,10.92,63.7,89,115.0,10231.9,4,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,176,16.061979293823242,10.96,62.9,89,114.3,10176.5,3,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,176,16.00119423866272,11.0,62.8,89,114.6,10202.9,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,655,37.79240107536316,17.33,17.1,328,22.2,7271.3,1,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260407.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,660,37.80859684944153,17.46,16.6,331,21.6,7158.1,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260407.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,655,37.810561656951904,17.32,16.3,328,21.7,7104.4,0,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_20260407.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,654,37.81792998313904,17.29,16.5,328,22.2,7280.2,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_20260407.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,268,26.070022344589233,10.28,51.5,135,91.6,12363.7,2,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,266,26.118921518325806,10.18,53.0,134,94.0,12590.7,4,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
