pc_name,points_json
PC16,"[[454, 43], [580, 46], [586, 112], [462, 117]]"
PC17,"[[639, 42], [760, 44], [761, 114], [640, 115]]"
PC18,"[[816, 36], [943, 37], [936, 108], [817, 112]]"
PC22,"[[387, 170], [553, 175], [546, 255], [396, 255]]"
PC23,"[[617, 170], [780, 174], [777, 260], [618, 261]]"
PC24,"[[815, 171], [977, 174], [975, 263], [814, 265]]"
PC28,"[[282, 380], [500, 383], [495, 488], [289, 487]]"
PC29,"[[586, 388], [815, 393], [808, 502], [598, 496]]"
PC30,"[[917, 395], [1148, 395], [1134, 513], [920, 503]]"
