pc_name,points_json
PC13,"[[443, 1], [572, 2], [555, 121], [412, 120]]"
PC14,"[[622, 0], [759, 4], [745, 118], [615, 115]]"
PC15,"[[807, 4], [940, 3], [944, 130], [800, 132]]"
PC19,"[[357, 130], [513, 133], [513, 331], [310, 327]]"
PC20,"[[576, 133], [753, 133], [742, 335], [565, 330]]"
PC21,"[[803, 141], [982, 135], [972, 337], [788, 338]]"
PC25,"[[293, 342], [536, 339], [507, 715], [218, 719]]"
PC26,"[[604, 343], [843, 346], [823, 719], [577, 718]]"
PC27,"[[926, 345], [1152, 340], [1122, 718], [891, 715]]"
