pc_name,points_json
PC13,"[[455, 2], [573, 2], [574, 61], [455, 65]]"
PC14,"[[628, 1], [756, 2], [752, 70], [624, 72]]"
PC15,"[[812, 1], [936, 6], [928, 77], [804, 69]]"
PC19,"[[357, 117], [516, 126], [511, 208], [363, 202]]"
PC20,"[[581, 116], [744, 121], [744, 211], [582, 207]]"
PC21,"[[819, 141], [984, 138], [978, 228], [818, 223]]"
PC25,"[[302, 337], [519, 336], [518, 451], [309, 453]]"
PC26,"[[619, 335], [833, 344], [827, 457], [615, 450]]"
PC27,"[[931, 343], [1149, 344], [1133, 460], [935, 454]]"
