pc_name,points_json
PC16,"[[450, 32], [595, 25], [586, 154], [437, 161]]"
PC17,"[[646, 44], [763, 43], [772, 175], [637, 175]]"
PC18,"[[827, 42], [943, 37], [973, 167], [817, 173]]"
PC22,"[[398, 171], [557, 165], [544, 373], [357, 363]]"
PC23,"[[627, 177], [786, 174], [784, 383], [590, 381]]"
PC24,"[[816, 174], [975, 174], [1036, 383], [825, 381]]"
PC28,"[[283, 376], [504, 384], [493, 715], [252, 711]]"
PC29,"[[585, 387], [830, 395], [808, 712], [592, 715]]"
PC30,"[[919, 397], [1156, 397], [1117, 715], [913, 715]]"
